"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","axonogenesis","94/1671","459/18986",0.20479302832244,2.32687039840206,8.93952771455552,4.85562911374501e-15,2.79150117749201e-11,2.17787743722816e-11,"SKIL/PALLD/RTN4/PTEN/BCL2/NFIB/PTK2/BMPR2/NIN/NOTCH2/CREB1/CDH11/EIF4G2/RELN/CLASP2/ROBO1/EFNA5/ALCAM/APBB2/EFNB2/CELSR3/EPHA7/ETV1/GSK3B/IFRD1/IGF1R/ITGB1/KIF5B/SMAD4/MAP1B/NEO1/PAFAH1B1/PLXNA2/POU3F2/PTPN11/PTPRM/RET/TOP2B/FZD3/USP9X/PICALM/KLF7/SEMA5A/B4GALT5/NRXN3/CHL1/WDR47/MYCBP2/ZDHHC17/MACF1/CD2AP/AUTS2/BCL11A/KIF21A/ENAH/BCL11B/RAPH1/NDEL1/SLITRK4/PRICKLE1/C9orf72/PTCH1/STXBP1/PRKG1/NRXN1/PPP3CB/BAIAP2/ANK3/SEMA6D/CNTN4/CNTN1/PITPNA/LMO4/FLRT2/FLRT3/SLITRK3/SEMA6A/ADCY1/DIP2B/LHX1/DISC1/PLPPR4/UNC5C/NTNG1/KIAA0319/XK/PAX6/LHX9/CXCL12/B4GALT6/BMPR1B/NRP1/MAP2K1/NRP2",94
"GO:0030900","forebrain development","82/1671","416/18986",0.197115384615385,2.23963656032776,7.94177113555835,2.34080995409223e-12,6.7286582130381e-09,5.24957432336156e-09,"HIF1A/FOXP1/CRK/RTN4/SRC/PTEN/CDK6/KRAS/NFIB/APAF1/EGFR/NIN/CASP3/CREB1/ERBB4/RELN/SLC7A11/ROBO1/ATP7A/ATRX/LPAR1/GSK3B/IGF1R/RBPJ/NF1/PAFAH1B1/PEX13/POU3F2/PROX1/RAN/RRM1/SALL1/SCN2A/SOX2/NR2F2/TOP2B/FXR1/SEMA5A/RAPGEF2/FRS2/WDR47/AGTPBP1/RPGRIP1L/C21orf91/SLC38A2/SLC4A10/BCL11B/FAT4/PGAP1/NDEL1/DIXDC1/LRRK2/PTCHD1/VPS13B/KCNA1/PRKG1/FOXP2/SLC1A2/NCOA1/SETD2/PLCB1/NEUROD6/METTL3/LHX1/SOCS7/NEUROD1/DISC1/CSNK2A2/PAX6/CDON/PAX5/CXCL12/NDNF/RARB/SSTR2/LRP2/ZEB1/TOX/NRP1/FGF2/NRP2/ZIC1",82
"GO:0001667","ameboidal-type cell migration","55/1671","241/18986",0.228215767634855,2.59300093615521,7.73150618547425,3.25923226459099e-11,6.24577542971121e-08,4.8728381331306e-08,"IRS2/ADAM9/HIF1A/RTN4/ARID5B/FER/SRC/PTEN/GJA1/THBS1/ZEB2/PTK2/BMPR2/TGFB2/FBN2/ERBB4/CLASP2/ACVR1/ARHGAP5/MTOR/ITGA2/ITGB1/SMAD4/PAFAH1B1/PKN2/PROX1/PTPN11/RET/ROCK1/RREB1/TPBG/ZFAND5/SEMA5A/GNA13/SASH1/CLASP1/MACF1/DAAM2/SMURF2/EDNRB/KITLG/SEMA6D/MAP4K4/CAPN7/SEMA6A/AMOTL1/YTHDF3/PAX6/NANOS1/FGF7/EPB41L4B/ACVR1C/NRP1/FGF2/NRP2",55
"GO:0010975","regulation of neuron projection development","83/1671","452/18986",0.183628318584071,2.08639572509705,7.26197858404642,7.71449258992362e-11,8.71962145481367e-08,6.80288691286559e-08,"CAPRIN1/CRK/SKIL/SLC30A1/RTN4/PTEN/CAPRIN2/TWF1/BMPR2/NTRK3/ANKRD27/NIN/PTPRD/EIF4G2/PPP3CA/RELN/ROBO1/EFNA5/ABL2/DAB2/DMD/LPAR1/EFNB2/EPHA7/GSK3B/IFRD1/IGF1R/ITGA6/MAP1B/NEDD4/NEO1/PAFAH1B1/PLXNA2/POU3F2/RET/ENC1/SEMA5A/CBFA2T2/RAPGEF2/ABI2/FUT9/TNIK/MYCBP2/CAMSAP2/SYNE1/PUM2/MACF1/FBXO7/TANC2/BCL11A/KIF21A/CCDC88A/THOC2/KIDINS220/NDEL1/FAT3/LRRK2/DHX36/TENM3/DGKG/BAIAP2/NCK1/SEMA6D/CNTN1/MAGI2/CAMK1D/CSMD3/DIP2B/GRID2/DISC1/NTNG1/KIAA0319/XK/PAX6/ZDHHC15/PAQR3/CXCL12/NDNF/SNX3/TOX/NRP1/MAP2K1/PLPPR5",83
"GO:0002064","epithelial cell development","51/1671","219/18986",0.232876712328767,2.64595886312027,7.61072246312073,7.75380460553929e-11,8.71962145481367e-08,6.80288691286559e-08,"HIF1A/PALLD/RAP2C/FER/SRC/GJA1/CDK6/TP63/PODXL/NOTCH2/MET/YAP1/CLIC4/ATRX/KLF5/EPAS1/GSK3B/IL6ST/PDE4D/PDPK1/PGR/PROX1/RAP1B/RFX3/ROCK1/VEZF1/FZD5/MAGI1/ONECUT2/RAPGEF2/ABI2/FRS2/ARID4B/BCL11B/FRMD6/EDNRB/TMOD1/STC1/FAT1/MAGI2/PLCB1/ZDHHC21/FEM1B/C1GALT1/GRHL2/INSM1/PAX6/TFCP2L1/RARB/TJP2/PKHD1",51
"GO:0050803","regulation of synapse structure or activity","65/1671","318/18986",0.20440251572327,2.3224333713477,7.38789546333442,9.10031809512646e-11,8.71962145481367e-08,6.80288691286559e-08,"CAPRIN1/SLC30A1/RTN4/CAPRIN2/LIN7C/YWHAZ/PTPRD/RELN/SLC7A11/EFNA5/ADAM10/EPHA7/ITGB1/KIF5B/MAP1B/MEF2C/NEDD4/NF1/PAFAH1B1/PCDH8/ROCK1/TPBG/LIN7A/LATS1/DLG5/HOMER1/DOCK4/ABI2/GNA13/PTPRT/MYCBP2/PUM2/ZDHHC17/TANC2/SIX4/SETD5/VPS35/SLC17A6/AGAP1/LRRK2/SLITRK4/PRICKLE1/DHX36/SLC12A5/NRXN1/BAIAP2/CDH8/WASL/FLRT2/FLRT3/SLITRK3/LRRTM2/CTTNBP2/SHANK2/LRFN5/OGT/GRID2/DISC1/PLPPR4/FRMPD4/GPR158/ZDHHC15/IGSF11/FGF7/NRP2",65
"GO:0050807","regulation of synapse organization","64/1671","312/18986",0.205128205128205,2.33067869692645,7.36231002885087,1.0859355192621e-10,8.91863328605399e-08,6.95815225199367e-08,"CAPRIN1/SLC30A1/RTN4/CAPRIN2/LIN7C/YWHAZ/PTPRD/RELN/SLC7A11/EFNA5/ADAM10/EPHA7/ITGB1/KIF5B/MAP1B/MEF2C/NEDD4/NF1/PAFAH1B1/PCDH8/ROCK1/TPBG/LIN7A/LATS1/DLG5/HOMER1/DOCK4/ABI2/GNA13/PTPRT/MYCBP2/PUM2/ZDHHC17/TANC2/SIX4/SETD5/VPS35/AGAP1/LRRK2/SLITRK4/PRICKLE1/DHX36/SLC12A5/NRXN1/BAIAP2/CDH8/WASL/FLRT2/FLRT3/SLITRK3/LRRTM2/CTTNBP2/SHANK2/LRFN5/OGT/GRID2/DISC1/PLPPR4/FRMPD4/GPR158/ZDHHC15/IGSF11/FGF7/NRP2",64
"GO:0016055","Wnt signaling pathway","85/1671","476/18986",0.178571428571429,2.02893904419937,7.06272330048217,1.969340644641e-10,1.35724884433417e-07,1.05890037181897e-07,"XIAP/PRKAA1/TMEM170B/SRC/PTEN/CAPRIN2/ZEB2/EGFR/CAV1/STK4/RECK/APC/YAP1/FOXO1/NLK/WNK1/CSNK1A1/DAB2/DDX3X/CELSR3/GNAQ/GRB10/GSK3B/RBPJ/SMAD4/MLLT3/PPM1A/PPP2R3A/SALL1/SOX2/STRN/TPBG/FZD5/FZD3/CUL3/TNKS/SEMA5A/LATS1/CTR9/SPIN1/FERMT2/WIF1/TNIK/RTF1/MACF1/DAAM2/PYGO1/NPHP3/UBR5/VPS35/RNF213/SMURF2/CDC73/TBL1XR1/TNKS2/VANGL1/DIXDC1/LRRK2/AMER1/PRICKLE1/UBAC2/EDNRB/BICC1/CCNYL1/CTNND2/CSNK1E/MAGI2/WWOX/CXXC4/PCDH11Y/AMOTL1/AMER2/TMEM196/PPM1B/DISC1/ANKRD6/CSNK2A2/MITF/CDK14/TBL1X/SNX3/TMEM237/FGF2/HMGXB4/FZD7",85
"GO:0016358","dendrite development","53/1671","239/18986",0.221757322175732,2.51961970007687,7.34429737777872,2.28648882099757e-10,1.35724884433417e-07,1.05890037181897e-07,"CAPRIN1/CRK/SLC30A1/PTEN/CAPRIN2/ANKRD27/PTPRD/EIF4G2/PPP3CA/RELN/FMR1/LPAR1/GPR37/GSK3B/ITGB1/MAP1B/MEF2C/NEDD4/PAFAH1B1/MAPK6/STRN/TPBG/PICALM/KLF7/DLG5/RAPGEF2/ABI2/CPEB3/TNIK/CAMSAP2/SYNE1/TANC2/BCL11A/C21orf91/KIDINS220/PREX2/FAT3/LRRK2/PRICKLE1/DHX36/DGKG/PRKG1/SLC12A5/BAIAP2/CTNND2/WASL/CAMK1D/CSMD3/DISC1/KIAA0319/GRIN3A/ZDHHC15/NRP1",53
"GO:0090132","epithelium migration","31/1671","100/18986",0.31,3.5222381807301,7.85594403040702,2.36084335420798e-10,1.35724884433417e-07,1.05890037181897e-07,"IRS2/ADAM9/HIF1A/RTN4/SRC/PTEN/ZEB2/PTK2/BMPR2/TGFB2/CLASP2/ARHGAP5/MTOR/ITGA2/SMAD4/PKN2/PROX1/PTPN11/ROCK1/RREB1/SASH1/CLASP1/MACF1/DAAM2/KITLG/MAP4K4/CAPN7/GRHL2/NANOS1/FGF7/EPB41L4B",31
